Session_Number,Trial_Time,Listener_Number,Subject_3,Subject_4,Talker_Number,Score,Target_Word,Response_Word_1,Talker_Language,Listener_Language,Background_Noise,Peak/Peak_SNR_(at_Listener),TabRT1,Orientation,Location,Rating,Listener_Age,Talker_Age,Listener_Sex,Talker_Sex,Listener_Status,Talker_Status,
832,7.365615e+05,1021,6,6,1060,1,135,135,Non-Native,Native,7.640000e+01,5.100000e+00,1613,Face_Tablet,Cafeteria,4,23,43,Female,Female,YNH,MNH,
832,7.365615e+05,1021,6,6,1023,1,273,273,Bilingual,Native,7.770000e+01,2.450000e+00,1074,Face_Target,Cafeteria,4,23,22,Female,Male,YNH,YNH,
832,7.365615e+05,1021,6,6,1059,1,217,217,Native,Native,7.365000e+01,6.200000e+00,830,Face_Target,Cafeteria,2,23,25,Female,Female,YNH,YNH,
832,7.365615e+05,1021,6,6,1060,1,86,86,Non-Native,Native,77,5.200000e+00,478,Normal,Cafeteria,4,23,43,Female,Female,YNH,MNH,
832,7.365615e+05,1021,6,6,1023,1,131,131,Bilingual,Native,7.660000e+01,4.950000e+00,1019,Normal,Cafeteria,4,23,22,Female,Male,YNH,YNH,
832,7.365615e+05,1021,6,6,1023,1,212,212,Bilingual,Native,7.220000e+01,9.550000e+00,1750,Normal,Cafeteria,4,23,22,Female,Male,YNH,YNH,
832,7.365615e+05,1021,6,6,1059,1,55,55,Native,Native,8.120000e+01,9.500000e-01,1001,Normal,Cafeteria,2,23,25,Female,Female,YNH,YNH,
832,7.365615e+05,1021,6,6,1023,1,108,108,Bilingual,Native,7.695000e+01,3.550000e+00,1779,Normal,Cafeteria,4,23,22,Female,Male,YNH,YNH,
832,7.365615e+05,1021,6,6,1023,1,257,257,Bilingual,Native,7.735000e+01,3.450000e+00,1032,Normal,Cafeteria,4,23,22,Female,Male,YNH,YNH,
832,7.365615e+05,1021,6,6,1060,1,49,49,Non-Native,Native,7.920000e+01,2.250000e+00,1484,Normal,Cafeteria,4,23,43,Female,Female,YNH,MNH,
832,7.365615e+05,1021,6,6,1059,1,48,48,Native,Native,7.595000e+01,2.600000e+00,882,Normal,Cafeteria,2,23,25,Female,Female,YNH,YNH,
832,7.365615e+05,1021,6,6,1060,1,220,220,Non-Native,Native,7.575000e+01,8.100000e+00,938,Normal,Cafeteria,4,23,43,Female,Female,YNH,MNH,
832,7.365615e+05,1021,6,6,1059,1,181,181,Native,Native,7.745000e+01,2.950000e+00,1326,Normal,Cafeteria,2,23,25,Female,Female,YNH,YNH,
832,7.365615e+05,1021,6,6,1023,1,202,202,Bilingual,Native,7.685000e+01,6.650000e+00,771,Face_Tablet,Cafeteria,4,23,22,Female,Male,YNH,YNH,
832,7.365615e+05,1021,6,6,1059,1,6,6,Native,Native,7.185000e+01,6.300000e+00,1704,Face_Target,Cafeteria,2,23,25,Female,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1060,1,135,135,Non-Native,Bilingual,7.640000e+01,5.100000e+00,2277,Face_Tablet,Cafeteria,5,22,43,Male,Female,YNH,MNH,
832,7.365615e+05,1023,6,6,1021,1,175,175,Native,Bilingual,8.196667e+01,-2.766667e+00,1826,Normal,Cafeteria,3,22,23,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1021,1,70,70,Native,Bilingual,7.366667e+01,4.866667e+00,658,Normal,Cafeteria,3,22,23,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1021,1,257,257,Native,Bilingual,7.756667e+01,1.233333e+00,1802,Normal,Cafeteria,3,22,23,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1059,1,217,217,Native,Bilingual,7.365000e+01,6.200000e+00,1977,Face_Target,Cafeteria,4,22,25,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1021,1,118,118,Native,Bilingual,7.713333e+01,4.766667e+00,1925,Normal,Cafeteria,3,22,23,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1060,1,86,86,Non-Native,Bilingual,77,5.200000e+00,1401,Normal,Cafeteria,5,22,43,Male,Female,YNH,MNH,
832,7.365615e+05,1023,6,6,1059,1,55,55,Native,Bilingual,8.120000e+01,9.500000e-01,2783,Normal,Cafeteria,4,22,25,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1021,1,150,150,Native,Bilingual,7.776667e+01,3.333333e-01,1305,Normal,Cafeteria,3,22,23,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1060,0,49,136,Non-Native,Bilingual,7.920000e+01,2.250000e+00,4529,Normal,Cafeteria,5,22,43,Male,Female,YNH,MNH,
832,7.365615e+05,1023,6,6,1059,1,48,48,Native,Bilingual,7.595000e+01,2.600000e+00,2413,Normal,Cafeteria,4,22,25,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1060,1,220,220,Non-Native,Bilingual,7.575000e+01,8.100000e+00,1152,Normal,Cafeteria,5,22,43,Male,Female,YNH,MNH,
832,7.365615e+05,1023,6,6,1059,1,181,181,Native,Bilingual,7.745000e+01,2.950000e+00,1672,Normal,Cafeteria,4,22,25,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1059,1,6,6,Native,Bilingual,7.185000e+01,6.300000e+00,1369,Face_Target,Cafeteria,4,22,25,Male,Female,YNH,YNH,
832,7.365615e+05,1023,6,6,1021,0,124,23,Native,Bilingual,7.760000e+01,2.433333e+00,2615,Normal,Cafeteria,3,22,23,Male,Female,YNH,YNH,
832,7.365615e+05,1059,6,6,1060,0,135,140,Non-Native,Native,7.640000e+01,5.100000e+00,1412,Face_Tablet,Cafeteria,7,25,43,Female,Female,YNH,MNH,
832,7.365615e+05,1059,6,6,1023,0,273,170,Bilingual,Native,7.770000e+01,2.450000e+00,5878,Face_Target,Cafeteria,3,25,22,Female,Male,YNH,YNH,
832,7.365615e+05,1059,6,6,1021,1,175,175,Native,Native,8.196667e+01,-2.766667e+00,2149,Normal,Cafeteria,2,25,23,Female,Female,YNH,YNH,
832,7.365615e+05,1059,6,6,1021,1,70,70,Native,Native,7.366667e+01,4.866667e+00,849,Normal,Cafeteria,2,25,23,Female,Female,YNH,YNH,
832,7.365615e+05,1059,6,6,1021,1,257,257,Native,Native,7.756667e+01,1.233333e+00,1102,Normal,Cafeteria,2,25,23,Female,Female,YNH,YNH,
832,7.365615e+05,1059,6,6,1021,1,118,118,Native,Native,7.713333e+01,4.766667e+00,749,Normal,Cafeteria,2,25,23,Female,Female,YNH,YNH,
832,7.365615e+05,1059,6,6,1060,0,86,63,Non-Native,Native,77,5.200000e+00,1770,Normal,Cafeteria,7,25,43,Female,Female,YNH,MNH,
832,7.365615e+05,1059,6,6,1023,1,131,131,Bilingual,Native,7.660000e+01,4.950000e+00,1931,Normal,Cafeteria,3,25,22,Female,Male,YNH,YNH,
832,7.365615e+05,1059,6,6,1023,1,212,212,Bilingual,Native,7.220000e+01,9.550000e+00,1521,Normal,Cafeteria,3,25,22,Female,Male,YNH,YNH,
832,7.365615e+05,1059,6,6,1023,1,108,108,Bilingual,Native,7.695000e+01,3.550000e+00,2294,Normal,Cafeteria,3,25,22,Female,Male,YNH,YNH,
832,7.365615e+05,1059,6,6,1023,1,257,257,Bilingual,Native,7.735000e+01,3.450000e+00,2602,Normal,Cafeteria,3,25,22,Female,Male,YNH,YNH,
832,7.365615e+05,1059,6,6,1021,1,150,150,Native,Native,7.776667e+01,3.333333e-01,1412,Normal,Cafeteria,2,25,23,Female,Female,YNH,YNH,
832,7.365615e+05,1059,6,6,1060,1,49,49,Non-Native,Native,7.920000e+01,2.250000e+00,1706,Normal,Cafeteria,7,25,43,Female,Female,YNH,MNH,
832,7.365615e+05,1059,6,6,1060,1,220,220,Non-Native,Native,7.575000e+01,8.100000e+00,1235,Normal,Cafeteria,7,25,43,Female,Female,YNH,MNH,
832,7.365615e+05,1059,6,6,1023,1,202,202,Bilingual,Native,7.685000e+01,6.650000e+00,1110,Face_Tablet,Cafeteria,3,25,22,Female,Male,YNH,YNH,
832,7.365615e+05,1059,6,6,1021,0,124,23,Native,Native,7.760000e+01,2.433333e+00,5696,Normal,Cafeteria,2,25,23,Female,Female,YNH,YNH,
832,7.365615e+05,1060,6,6,1023,1,273,273,Bilingual,Non-Native,7.770000e+01,2.450000e+00,3863,Face_Target,Cafeteria,4,43,22,Female,Male,MNH,YNH,
832,7.365615e+05,1060,6,6,1021,1,175,175,Native,Non-Native,8.196667e+01,-2.766667e+00,2336,Normal,Cafeteria,2,43,23,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1021,1,70,70,Native,Non-Native,7.366667e+01,4.866667e+00,766,Normal,Cafeteria,2,43,23,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1021,1,257,257,Native,Non-Native,7.756667e+01,1.233333e+00,1375,Normal,Cafeteria,2,43,23,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1059,1,217,217,Native,Non-Native,7.365000e+01,6.200000e+00,2208,Face_Target,Cafeteria,4,43,25,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1021,1,118,118,Native,Non-Native,7.713333e+01,4.766667e+00,976,Normal,Cafeteria,2,43,23,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1023,1,131,131,Bilingual,Non-Native,7.660000e+01,4.950000e+00,4200,Normal,Cafeteria,4,43,22,Female,Male,MNH,YNH,
832,7.365615e+05,1060,6,6,1023,1,212,212,Bilingual,Non-Native,7.220000e+01,9.550000e+00,1843,Normal,Cafeteria,4,43,22,Female,Male,MNH,YNH,
832,7.365615e+05,1060,6,6,1059,1,55,55,Native,Non-Native,8.120000e+01,9.500000e-01,1746,Normal,Cafeteria,4,43,25,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1023,1,108,108,Bilingual,Non-Native,7.695000e+01,3.550000e+00,3208,Normal,Cafeteria,4,43,22,Female,Male,MNH,YNH,
832,7.365615e+05,1060,6,6,1023,1,257,257,Bilingual,Non-Native,7.735000e+01,3.450000e+00,6378,Normal,Cafeteria,4,43,22,Female,Male,MNH,YNH,
832,7.365615e+05,1060,6,6,1021,1,150,150,Native,Non-Native,7.776667e+01,3.333333e-01,2045,Normal,Cafeteria,2,43,23,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1059,1,48,48,Native,Non-Native,7.595000e+01,2.600000e+00,2612,Normal,Cafeteria,4,43,25,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1059,1,181,181,Native,Non-Native,7.745000e+01,2.950000e+00,2245,Normal,Cafeteria,4,43,25,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1023,1,202,202,Bilingual,Non-Native,7.685000e+01,6.650000e+00,2638,Face_Tablet,Cafeteria,4,43,22,Female,Male,MNH,YNH,
832,7.365615e+05,1060,6,6,1059,1,6,6,Native,Non-Native,7.185000e+01,6.300000e+00,1081,Face_Target,Cafeteria,4,43,25,Female,Female,MNH,YNH,
832,7.365615e+05,1060,6,6,1021,1,124,124,Native,Non-Native,7.760000e+01,2.433333e+00,848,Normal,Cafeteria,2,43,23,Female,Female,MNH,YNH,
